Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,54.536201,55.662521,54.453415,55.614594,55.614594,4749441
2020-01-03,54.954487,55.455559,54.858631,55.316132,55.316132,2995081
2020-01-06,55.113522,55.411987,54.825951,55.388023,55.388023,4645703
2020-01-07,55.488239,55.941380,55.028561,55.738773,55.738773,3659736
2020-01-08,55.773632,56.958775,55.773632,56.394524,56.394524,5559604
2020-01-09,56.889061,57.485989,56.409775,56.682095,56.682095,4451539
2020-01-10,57.093845,57.858524,56.555737,57.769203,57.769203,3094687
2020-01-13,57.845451,59.923813,57.845451,59.058918,59.058918,6021834
2020-01-14,58.973953,59.660206,58.527348,58.952168,58.952168,3778162
2020-01-15,58.895527,60.250595,58.895527,59.834492,59.834492,3455015
2020-01-16,60.115524,60.557777,59.910740,60.344276,60.344276,3097441
2020-01-17,60.749489,60.749489,59.614452,60.063240,60.063240,4209638
2020-01-21,59.782204,60.047989,59.117741,59.363918,59.363918,8650619
2020-01-22,59.841026,59.958668,59.074169,59.220131,59.220131,5424653
2020-01-23,59.178738,59.644955,58.649345,58.795311,58.795311,2756392
2020-01-24,59.115562,59.259346,57.285561,57.374882,57.374882,2967540
2020-01-27,56.157059,56.773594,55.662521,56.507809,56.507809,4071015
2020-01-28,56.865093,56.980560,56.322632,56.451168,56.451168,3002425
2020-01-29,56.560097,56.560097,54.904381,54.971916,54.971916,3744654
2020-01-30,54.512238,54.884773,54.128811,54.669094,54.669094,4197703
2020-01-31,54.414204,54.444702,52.882664,53.067844,53.067844,4159605
2020-02-03,53.218166,54.194164,53.218166,54.061272,54.061272,5982817
2020-02-04,54.682167,55.516560,54.126629,55.340096,55.340096,4414359
2020-02-05,54.300915,54.300915,51.658306,51.965485,51.965485,8076849
2020-02-06,51.634342,54.359737,51.065735,53.255199,53.255199,7869833
2020-02-07,52.802059,53.455631,52.218201,52.431702,52.431702,4550687
2020-02-10,52.198593,52.518845,51.335880,51.490559,51.490559,3169048
2020-02-11,51.366379,51.958950,50.780342,50.871841,50.871841,3720785
2020-02-12,51.183380,51.653950,50.407806,51.523235,51.523235,3069900
2020-02-13,50.749844,51.828236,50.268379,51.307556,51.307556,4054490
2020-02-14,51.366379,52.126701,51.094055,51.839130,51.839130,5324129
2020-02-18,51.736736,52.161556,51.309734,51.638699,51.638699,4327146
