,LLY,JNJ,ABBV,AZN,NVS,CVS,WBA,NVO,PFE,TCNNF,MRK
LLY,1.0,0.4473768948672234,0.8437083692342227,0.7892833668350305,0.8574241088152104,0.11435436268420766,-0.7881190458544409,0.9865280126224866,-0.17853614573772836,-0.5059546627371295,0.9166053161668577
JNJ,0.4473768948672234,1.0,0.7585378102681795,0.6717905944738638,0.43483078143238474,0.7846652913799091,-0.016700436245656262,0.43867474348767377,0.6646780129809934,-0.08020143655436729,0.46444008001980985
ABBV,0.8437083692342227,0.7585378102681795,1.0,0.8828256529107216,0.7207800217952735,0.5337230639067371,-0.5325799729576131,0.8519648594629208,0.27828405977211007,-0.46662371075692155,0.8644650784831313
AZN,0.7892833668350305,0.6717905944738638,0.8828256529107216,1.0,0.7867974799223334,0.3461589133296726,-0.5736948297955776,0.8253556348025639,0.22773904301825762,-0.5426161423053186,0.870539459499764
NVS,0.8574241088152104,0.43483078143238474,0.7207800217952735,0.7867974799223334,1.0,-0.02524818578784165,-0.6570325295626311,0.8687130567409737,-0.22169339483877606,-0.45051012515241334,0.8467046546033402
CVS,0.11435436268420766,0.7846652913799091,0.5337230639067371,0.3461589133296726,-0.02524818578784165,1.0,0.29744400282000344,0.11007358385432907,0.8507326457636402,0.02284332813971242,0.12536283347231317
WBA,-0.7881190458544409,-0.016700436245656262,-0.5325799729576131,-0.5736948297955776,-0.6570325295626311,0.29744400282000344,1.0,-0.7748819568287264,0.45528692847334273,0.6562281736571258,-0.7601480254877867
NVO,0.9865280126224866,0.43867474348767377,0.8519648594629208,0.8253556348025639,0.8687130567409737,0.11007358385432907,-0.7748819568287264,1.0,-0.1555844280955132,-0.5251287918522448,0.9315414903794517
PFE,-0.17853614573772836,0.6646780129809934,0.27828405977211007,0.22773904301825762,-0.22169339483877606,0.8507326457636402,0.45528692847334273,-0.1555844280955132,1.0,0.059435666330862606,-0.0858081253821059
TCNNF,-0.5059546627371295,-0.08020143655436729,-0.46662371075692155,-0.5426161423053186,-0.45051012515241334,0.02284332813971242,0.6562281736571258,-0.5251287918522448,0.059435666330862606,1.0,-0.6427411791662385
MRK,0.9166053161668577,0.46444008001980985,0.8644650784831313,0.870539459499764,0.8467046546033402,0.12536283347231317,-0.7601480254877867,0.9315414903794517,-0.0858081253821059,-0.6427411791662385,1.0
