,Open,High,Low,Close,Volume,Dividends,Stock Splits,Previous_close,Return
2020-01-02,123.88051609494228,124.34116905956044,122.90277616088508,124.29417419433594,2204200,0.0,0.0,,
2020-01-03,122.4984982913442,124.53857128263323,122.43268254395097,123.88048553466797,1963500,0.0,0.0,124.29417419433594,0.001966279512949365
2020-01-06,123.55143783451436,124.62318160018134,123.10018107665292,124.34114074707031,2102900,0.0,0.0,123.88048553466797,0.005995262791455014
2020-01-07,123.81469436472217,124.97104629034152,123.81469436472217,124.5761947631836,2448300,0.0,0.0,124.34114074707031,0.005065946310984337
2020-01-08,124.52916466948616,126.1743860731235,124.10609626096851,125.7043228149414,5188600,0.0,0.0,124.5761947631836,0.012829026548595746
2020-01-09,126.4940591204446,128.1956862701411,125.98638263395195,127.78202819824219,4522800,0.0,0.0,125.7043228149414,0.019819234529169005
2020-01-10,127.65040531998797,129.99132602487057,127.41537363920361,129.73748779296875,4177600,0.0,0.0,127.78202819824219,0.01728958178063089
2020-01-13,129.92550166818293,131.6083364245137,129.63406469853317,130.62120056152344,5117100,0.0,0.0,129.73748779296875,0.014420262511406046
2020-01-14,130.66822130814592,132.46385248677282,129.85030128616216,132.22882080078125,4685200,0.0,0.0,130.62120056152344,0.014106836542062684
2020-01-15,132.1630193737586,133.20656063325495,131.62714024406247,132.66128540039062,3676500,0.0,0.0,132.22882080078125,0.007394301987664109
2020-01-16,133.3381717142466,133.46978887856892,131.47672486306092,132.9621124267578,3794800,0.0,0.0,132.66128540039062,0.006094494529719885
2020-01-17,132.44505269806317,133.2535622253955,131.0160561123885,131.22288513183594,5393200,0.0,0.0,132.9621124267578,0.002191976295489839
2020-01-21,131.147669306932,133.0937383823411,130.14172689322135,132.47325134277344,4849500,0.0,0.0,131.22288513183594,0.014257065363450616
2020-01-22,132.79289834106476,133.7330250549838,132.26642967650133,133.08433532714844,2742100,0.0,0.0,132.47325134277344,0.009509645905426689
2020-01-23,132.79287829200982,133.25354547654896,131.5049094788606,132.75527954101562,3138700,0.0,0.0,133.08433532714844,0.0012714505353659256
2020-01-24,133.35697446847908,133.4885916290545,130.39556683774043,130.74342346191406,3183300,0.0,0.0,132.75527954101562,0.005523788512021621
2020-01-27,129.1169914019751,130.7716234963033,129.1169914019751,130.02891540527344,2826400,0.0,0.0,130.74342346191406,0.0002156898881988667
2020-01-28,130.38617807175476,131.50493117219233,129.95371346541927,130.9220428466797,2649100,0.0,0.0,130.02891540527344,0.011351442579663473
2020-01-29,131.15710128312324,132.6895127512962,130.6494390588368,131.5425567626953,2815500,0.0,0.0,130.9220428466797,0.01350017053038477
2020-01-30,129.90668001265777,135.11498914176002,129.83148251230037,134.1278533935547,5243400,0.0,0.0,131.5425567626953,0.02715799713023226
2020-01-31,134.2971100102223,134.2971100102223,131.11947705126235,131.279296875,3913500,0.0,0.0,134.1278533935547,0.001261905058384638
2020-02-03,132.1159854348227,133.09372509871312,131.31687211405801,132.55784606933594,5137800,0.0,0.0,131.279296875,0.013821129964161516
2020-02-04,133.77998684645877,135.4440145569984,133.2911171118276,134.8517303466797,3177500,0.0,0.0,132.55784606933594,0.021772898196858348
2020-02-05,136.11153186821903,138.53706028656765,135.87650021154022,138.5276641845703,4060900,0.0,0.0,134.8517303466797,0.0273287552960102
2020-02-06,138.89432516147747,139.01653187892316,138.0199998625459,138.4806671142578,3285000,0.0,0.0,138.5276641845703,0.003529025752585291
2020-02-07,138.40548242217127,138.40548242217127,136.67565238081025,137.64398193359375,2670400,0.0,0.0,138.4806671142578,-0.0005429255480442485
2020-02-10,133.0279184152335,136.8354341435069,132.67066570464573,136.79782104492188,4892100,0.0,0.0,137.64398193359375,-0.005874196450353697
2020-02-11,137.00463396765008,137.12685500591206,134.60730846867972,135.61325073242188,2976400,0.0,0.0,136.79782104492188,0.002405257324107124
2020-02-12,136.00810700949447,136.2243321005208,134.8987645601315,134.9175567626953,3953200,0.0,0.0,135.61325073242188,0.004506059435922305
2020-02-13,135.00265868575758,135.8342630419704,133.9915020781305,134.00096130371094,3455500,0.74,0.0,134.9175567626953,0.006794566261583368
2020-02-14,134.42619155230503,134.49234844492713,132.83859916396733,133.35833740234375,2273700,0.0,0.0,134.00096130371094,0.0036670419110089725
2020-02-18,133.26383849632438,134.15214036657312,132.8007835330217,133.25437927246094,2858200,0.0,0.0,133.35833740234375,0.005952405973947084
2020-02-19,133.83083285737723,134.03873391380625,132.64013860473275,133.08428955078125,3082800,0.0,0.0,133.25437927246094,0.005886145323160896
2020-02-20,133.84028095414888,134.95537341906177,133.43392367962204,134.18992614746094,3417000,0.0,0.0,133.08428955078125,0.014059389538737088
2020-02-21,133.56622540418195,134.80417243774326,132.61178110354294,134.22772216796875,2900900,0.0,0.0,134.18992614746094,0.004577439662701188
2020-02-24,131.61952023624414,133.80246662534333,130.2870675713625,130.55166625976562,4727400,0.0,0.0,134.22772216796875,-0.00316816478561166
2020-02-25,131.29824202933472,131.57228555891942,127.21583698214197,127.96239471435547,3401600,0.0,0.0,130.55166625976562,0.007817742418721796
2020-02-26,128.5482821606593,129.4838368663705,125.97788234051687,126.18578338623047,4659000,0.0,0.0,127.96239471435547,0.011889759920570953
2020-02-27,125.99677740087488,127.2630731931537,121.9521809404743,122.08448028564453,4292800,0.0,0.0,126.18578338623047,0.008537331052784758
2020-02-28,119.42903705102128,119.82594232987637,114.8268939909719,119.19278717041016,7898300,0.0,0.0,122.08448028564453,-0.018499795801102614
2020-03-02,120.7141895479916,125.68488710172825,119.26834200030956,125.53368377685547,7355700,0.0,0.0,119.19278717041016,0.05446722142705096
2020-03-03,125.9495251834509,128.18916925931228,121.61198118100525,123.14287567138672,6936600,0.0,0.0,125.53368377685547,0.021153569325481625
2020-03-04,125.71328985016393,133.1126381080539,125.68494101703227,132.65904235839844,5301900,0.0,0.0,123.14287567138672,0.0809609356798846
2020-03-05,130.76904209001736,134.1048893414935,129.9657867062534,132.44168090820312,6882100,0.0,0.0,132.65904235839844,0.010898970453811163
2020-03-06,128.63333320416484,134.53013554468035,128.0946909627144,133.6796417236328,8010700,0.0,0.0,132.44168090820312,0.015768862356290603
2020-03-09,126.6488592865223,133.17879602032855,125.9779031789979,128.25535583496094,5351300,0.0,0.0,133.6796417236328,-0.0037466116519051518
2020-03-10,131.572278853057,134.12377466773555,127.31033621793415,133.4244842529297,5961200,0.0,0.0,128.25535583496094,0.04575574091678547
2020-03-11,131.7896501888706,134.03873942523302,129.83349410100442,132.31884765625,7211800,0.0,0.0,133.4244842529297,0.004603766510641982
2020-03-12,123.59648122058108,128.99243483941734,119.0037901735765,119.08883666992188,7836300,0.0,0.0,132.31884765625,-0.02513937262720367
2020-03-13,125.63766502080286,131.70455932617188,121.44186545533081,131.70455932617188,6841700,0.0,0.0,119.08883666992188,0.1059353925105253
2020-03-16,123.79492491374032,131.05251359035418,121.1961764899786,122.26403045654297,6619700,0.0,0.0,131.70455932617188,-0.004950821286322182
2020-03-17,125.8833928251221,135.69247807025937,123.88944325446658,135.3239288330078,8909200,0.0,0.0,122.26403045654297,0.10983154705086662
2020-03-18,128.84122428055346,136.07992368152605,126.70553066936665,135.219970703125,6734600,0.0,0.0,135.3239288330078,0.00558655704898392
2020-03-19,134.65295276117504,135.11599318042676,123.90830112928293,125.76995086669922,6554800,0.0,0.0,135.219970703125,-0.0007689509334869449
2020-03-20,124.89115168642451,124.97619819047469,113.61730607166405,115.66795349121094,9113500,0.0,0.0,125.76995086669922,-0.006311147223598823
2020-03-23,114.29769061015551,119.9015381281439,110.62164300428418,112.502197265625,7299300,0.0,0.0,115.66795349121094,0.03660118908609067
2020-03-24,116.46174511199862,117.74694510534826,110.9524030924644,116.13099670410156,6827300,0.0,0.0,112.502197265625,0.04661907026882384
2020-03-25,113.51333946512688,119.20223312894896,112.65338648269599,115.23323822021484,6472100,0.0,0.0,116.13099670410156,0.02644631073539161
2020-03-26,116.50897959168466,128.27422672025025,115.2332318140693,126.96067810058594,6723600,0.0,0.0,115.23323822021484,0.11317037255443263
2020-03-27,123.4641968867837,130.04140070919703,123.03894993376628,126.73390197753906,4717400,0.0,0.0,126.96067810058594,0.024265171348331727
2020-03-30,126.5070601013503,133.97256372023466,126.16685975391322,130.82571411132812,5057400,0.0,0.0,126.73390197753906,0.0571170115473798
2020-03-31,129.42715316446657,134.20884889259352,127.12135180476508,131.09034729003906,7560100,0.0,0.0,130.82571411132812,0.02585986099327897
2020-04-01,126.62992738261431,129.6444779610146,125.66602389790025,128.9168243408203,3297900,0.0,0.0,131.09034729003906,-0.011029563647622864
2020-04-02,127.90569679310124,134.94594066307653,125.7132908825884,134.3600311279297,4725000,0.0,0.0,128.9168243408203,0.046767490225456454
2020-04-03,133.1693319109457,136.64693767621247,130.84464114429778,131.9786376953125,4013200,0.0,0.0,134.3600311279297,0.017020735475309134
2020-04-06,134.445083749857,135.6074291047096,132.5834335695595,133.82138061523438,4159900,0.0,0.0,131.9786376953125,0.027495293729085102
2020-04-07,135.25775671335958,136.83590384073446,132.34715708973363,134.07650756835938,3900600,0.0,0.0,133.82138061523438,0.02252646932531288
2020-04-08,134.23716497979186,139.15115887799166,132.77241305506166,138.1778106689453,4006600,0.0,0.0,134.07650756835938,0.0378489222434808
2020-04-09,136.56185182867154,138.34790003583026,135.6546605212982,137.71475219726562,4415300,0.0,0.0,138.1778106689453,0.0012309455914920608
2020-04-13,136.99658980938,138.5274845096198,135.02154415445716,136.47683715820312,2289000,0.0,0.0,137.71475219726562,0.005901563190485293
2020-04-14,139.17950924237618,143.2146606820128,136.1271652449572,142.79885864257812,3809600,0.0,0.0,136.47683715820312,0.04936972210162849
2020-04-15,140.74823105211198,144.96292084343742,140.34187375966494,142.86502075195312,3614400,0.0,0.0,142.79885864257812,0.015154618331200354
2020-04-16,144.48097667506795,147.03247250644375,143.6399276753299,146.2197723388672,3512900,0.0,0.0,142.86502075195312,0.02917055366356114
2020-04-17,146.87181737951067,148.99806620847207,144.61326920019584,148.6389617919922,3709900,0.0,0.0,146.2197723388672,0.019000808339149522
2020-04-20,148.0153072810874,151.38894870407634,147.05140355185438,149.1114959716797,2562200,0.0,0.0,148.6389617919922,0.01850111760019235
2020-04-21,146.8623750985132,147.2309243250821,143.0823771154279,144.2730712890625,4270200,0.0,0.0,149.1114959716797,-0.01261184883394073
2020-04-22,146.10637658483714,148.62952357670534,145.1235834271528,148.09088134765625,3278000,0.0,0.0,144.2730712890625,0.030195879582505913
2020-04-23,148.5350099984807,153.6191117690463,145.5299186007061,151.13375854492188,5692900,0.0,0.0,148.09088134765625,0.03732998528391529
