,Open,High,Low,Close,Volume,Dividends,Stock Splits,Previous_close,Return
2020-01-02,30.99964202457908,31.039079634158316,30.66834707511011,30.873432159423828,16514072,0.0,0.0,,
2020-01-03,30.542137195256053,30.9523104925942,30.50269641829077,30.70778465270996,14922848,0.0,0.0,30.873432159423828,0.0025548935655439475
2020-01-06,30.621012389852268,30.76299726924566,30.526358975089916,30.6683406829834,15771951,0.0,0.0,30.70778465270996,0.001798000642512232
2020-01-07,30.857653850643796,30.86554137172509,30.510583894065476,30.565799713134766,20108107,0.0,0.0,30.6683406829834,0.00643010623822593
2020-01-08,30.573691088980492,30.936536133469303,30.565803566904734,30.81032943725586,16403507,0.0,0.0,30.565799713134766,0.01212912548711187
2020-01-09,30.975974969175752,30.975974969175752,30.597354904323538,30.676233291625977,21971895,0.0,0.0,30.81032943725586,0.005376298629238052
2020-01-10,30.747227401095614,31.25994490140281,30.739339878683303,31.149513244628906,21557357,0.0,0.0,30.676233291625977,0.019028138305891007
2020-01-13,31.252050340922896,31.370369493463237,30.928642965845928,31.086402893066406,15392405,0.0,0.0,31.149513244628906,0.0070901990377783
2020-01-14,31.102174359468833,31.614891685378844,30.999633431486583,31.607004165649414,20919160,0.0,0.0,31.086402893066406,0.01700064153869385
2020-01-15,31.70166410254655,32.23804404444644,31.685885889917124,32.080284118652344,23925800,0.0,0.0,31.607004165649414,0.019965191116810832
2020-01-16,32.174940051443215,32.18282757184686,31.80420439197221,32.032955169677734,16216422,0.0,0.0,32.080284118652344,0.0031964633734304915
2020-01-17,32.00140697102302,32.19071698634935,31.88308781500655,31.954078674316406,23083970,0.0,0.0,32.032955169677734,0.004924984780078967
2020-01-21,31.851544065664967,32.07240740187587,31.70167478145121,31.81999397277832,23115696,0.0,0.0,31.954078674316406,0.003703086819228929
2020-01-22,31.80420873639887,31.875199601228918,31.528129627059357,31.70166778564453,18097812,0.0,0.0,31.81999397277832,0.0017349352265065843
2020-01-23,31.701665365037073,32.206492073282405,31.654337068264034,32.11183547973633,27148510,0.0,0.0,31.70166778564453,0.015924218594785433
2020-01-24,32.29326026348816,32.31692282547798,31.267825490261096,31.409807205200195,34143698,0.0,0.0,32.11183547973633,0.006386659083099433
2020-01-27,31.086407461514774,31.890979085628715,30.960200769791122,31.678003311157227,31964026,0.0,0.0,31.409807205200195,0.015319160582076385
2020-01-28,31.015414954884115,31.149509161316875,29.93476426754259,30.084636688232422,70202408,0.0,0.0,31.678003311157227,-0.01668331632676523
2020-01-29,30.06885572416984,30.273940754121817,29.619241722140888,29.64290428161621,34165726,0.0,0.0,30.084636688232422,0.00629238331348847
2020-01-30,29.563223657579847,29.619003506210966,29.236512657897993,29.539316177368164,32316589,0.360531,0.0,29.64290428161621,-0.0008062899363092679
2020-01-31,29.43573001707993,29.842121968749407,29.40385444233667,29.674785614013672,33894005,0.0,0.0,29.539316177368164,0.010250941137670555
2020-02-03,29.85009788476934,30.312272964737137,29.72259876996269,29.889938354492188,20875735,0.0,0.0,29.674785614013672,0.021482458509234137
2020-02-04,30.344142627218705,30.471638526727148,29.98555920838963,30.033370971679688,31150865,0.0,0.0,29.889938354492188,0.019461404213553246
2020-02-05,30.160867418765793,30.734602180867626,30.136963138635558,30.41585922241211,29443490,0.0,0.0,30.033370971679688,0.02334840167789265
2020-02-06,30.630995494146322,30.6788072347895,30.304284602997996,30.487560272216797,21047748,0.0,0.0,30.41585922241211,0.008645095654034263
2020-02-07,30.567263740168812,30.599136114856027,30.224616488894835,30.320240020751953,21903596,0.0,0.0,30.487560272216797,0.003659717000737084
2020-02-10,30.4477331141489,30.45570120708451,30.05727413302191,30.128990173339844,19998385,0.0,0.0,30.320240020751953,0.004467681860032879
2020-02-11,30.192739743547374,30.38398357567967,30.089148133014234,30.352108001708984,16027335,0.0,0.0,30.128990173339844,0.008463390272053006
2020-02-12,30.35211157114907,30.431798913498465,30.05727609381067,30.07321548461914,22944315,0.0,0.0,30.352108001708984,0.002625547846133003
2020-02-13,29.945714661326345,29.945714661326345,29.395887409337124,29.427762985229492,22099745,0.0,0.0,30.07321548461914,-0.0042396804345050665
2020-02-14,29.459628117174443,29.515407958354434,29.02136068267168,29.093076705932617,21006747,0.0,0.0,29.427762985229492,0.0029783090603567874
2020-02-18,29.12495858102246,29.220582112527925,28.901842347339255,28.941682815551758,17988513,0.0,0.0,29.093076705932617,0.004382671791096859
2020-02-19,29.005430505447023,29.08511784894455,28.854030319817582,28.869966506958008,17750941,0.0,0.0,28.941682815551758,0.004956001843670066
2020-02-20,28.4555980478369,28.734497291647976,28.21654246854087,28.567157745361328,42953135,0.0,0.0,28.869966506958008,-0.0046923925345525586
2020-02-21,28.495445217425583,28.543256979945284,28.31216946434799,28.46356964111328,32425256,0.0,0.0,28.567157745361328,-0.0008366518513702736
2020-02-24,27.921710387102475,28.208577757420272,27.57109506825822,27.626874923706055,37969296,0.0,0.0,28.46356964111328,-0.008958534959181419
2020-02-25,27.63483987976372,27.682651636705494,26.861893288212624,27.037200927734375,41878898,0.0,0.0,27.626874923706055,0.0020189295080776937
2020-02-26,27.284224767966595,28.057171364255684,27.108917127370248,27.666715621948242,47920005,0.0,0.0,27.037200927734375,0.03772470527727734
2020-02-27,27.443593866779075,28.455595958416744,27.17266273498535,27.17266273498535,55444827,0.0,0.0,27.666715621948242,0.02851369664719705
2020-02-28,26.68658390401046,27.045165628311587,25.92160550056553,26.63080406188965,66057447,0.0,0.0,27.17266273498535,-0.0046921094158950405
2020-03-02,27.021269430382656,27.84999601479708,26.6547163014616,27.79421615600586,42034469,0.0,0.0,26.63080406188965,0.0457812670647888
2020-03-03,28.033267545895526,28.511378718266236,26.98142168512108,27.3320369720459,46174475,0.0,0.0,27.79421615600586,0.025802582747253
2020-03-04,27.969516244391386,29.053234344438017,27.849988465652466,29.005422592163086,38712155,0.0,0.0,27.3320369720459,0.06297362227895742
2020-03-05,28.407793629871225,28.830128252701194,28.017337791565176,28.256393432617188,35096303,0.0,0.0,29.005422592163086,-0.006043502345290941
2020-03-06,27.65078195416402,28.025304793406242,27.188610082336005,27.905776977539062,40931036,0.0,0.0,28.256393432617188,-0.008178277944848822
2020-03-09,26.662683520410685,27.642810199149856,26.42362792033797,26.9017391204834,43183856,0.0,0.0,27.905776977539062,-0.009423381352214766
2020-03-10,27.54718942498343,27.61890546303738,26.304099684424685,27.563125610351562,40548329,0.0,0.0,26.9017391204834,0.02665873530860008
