Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,0.000000,1.704427,1.690104,1.701823,0.727599,825600
1972-06-02,1.720052,1.736979,1.720052,1.733073,0.740959,2496000
1972-06-05,1.733073,1.752604,1.729167,1.735677,0.742073,960000
1972-06-06,1.735677,1.739583,1.662760,1.662760,0.710898,1824000
1972-06-07,1.662760,1.670573,1.656250,1.656250,0.708114,604800
1972-06-08,1.656250,1.677083,1.654948,1.658854,0.709228,1180800
1972-06-09,1.658854,1.661458,1.638021,1.651042,0.705888,451200
1972-06-12,1.657552,1.662760,1.657552,1.661458,0.710341,153600
1972-06-13,1.669271,1.730469,1.669271,1.730469,0.739846,700800
1972-06-14,1.739583,1.768229,1.739583,1.760417,0.752650,787200
1972-06-15,1.760417,1.781250,1.752604,1.759115,0.752093,787200
1972-06-16,1.753906,1.753906,1.731771,1.747396,0.747083,576000
1972-06-19,1.740885,1.740885,1.729167,1.739583,0.743743,720000
1972-06-20,1.752604,1.768229,1.752604,1.768229,0.755990,460800
1972-06-21,1.768229,1.783854,1.757813,1.757813,0.751537,1872000
1972-06-22,1.757813,1.760417,1.750000,1.759115,0.752093,604800
1972-06-23,1.763021,1.779948,1.763021,1.778646,0.760443,787200
1972-06-26,1.776042,1.776042,1.766927,1.776042,0.759330,470400
1972-06-27,1.776042,1.781250,1.750000,1.763021,0.753764,1008000
1972-06-28,1.760417,1.760417,1.750000,1.750000,0.748197,57600
1972-06-29,1.735677,1.735677,1.723958,1.726563,0.738176,326400
1972-06-30,1.733073,1.768229,1.733073,1.757813,0.751537,441600
1972-07-03,1.755208,1.755208,1.744792,1.750000,0.749129,422400
1972-07-05,1.750000,1.817708,1.747396,1.804688,0.772539,1065600
1972-07-06,1.812500,1.830729,1.812500,1.828125,0.782572,1008000
1972-07-07,1.828125,1.854167,1.825521,1.854167,0.793720,1094400
1972-07-10,1.846354,1.846354,1.812500,1.812500,0.775883,1344000
1972-07-11,1.812500,1.826823,1.804688,1.812500,0.775883,739200
1972-07-12,1.812500,1.826823,1.802083,1.802083,0.771424,604800
1972-07-13,1.802083,1.802083,1.783854,1.789063,0.765851,422400
1972-07-14,1.791667,1.805990,1.791667,1.791667,0.766965,364800
1972-07-17,1.791667,1.791667,1.742188,1.742188,0.745785,547200
1972-07-18,1.731771,1.731771,1.695313,1.717448,0.735194,1161600
1972-07-19,1.734375,1.763021,1.734375,1.744792,0.746899,1219200
1972-07-20,1.740885,1.740885,1.729167,1.729167,0.740211,643200
1972-07-21,1.729167,1.769531,1.725260,1.769531,0.757490,1420800
1972-07-24,1.787760,1.828125,1.787760,1.820313,0.779228,2448000
1972-07-25,1.820313,1.820313,1.808594,1.816406,0.777555,316800
1972-07-26,1.816406,1.833333,1.815104,1.833333,0.784801,806400
1972-07-27,1.833333,1.847656,1.825521,1.828125,0.782572,700800
1972-07-28,1.820313,1.820313,1.803385,1.804688,0.772539,355200
1972-07-31,1.804688,1.809896,1.781250,1.787760,0.765293,902400
1972-08-01,1.787760,1.820313,1.785156,1.820313,0.779228,1843200
1972-08-02,1.825521,1.841146,1.825521,1.841146,0.788146,1286400
1972-08-03,1.841146,1.851563,1.833333,1.847656,0.790932,662400
1972-08-04,1.854167,1.895833,1.854167,1.890625,0.809326,902400
1972-08-07,1.890625,1.921875,1.885417,1.921875,0.822704,700800
1972-08-08,1.921875,1.940104,1.898438,1.940104,0.830508,1123200
1972-08-09,1.940104,1.979167,1.936198,1.970052,0.843328,2054400
1972-08-10,1.970052,1.972656,1.960938,1.968750,0.842770,547200
1972-08-11,1.962240,1.962240,1.945313,1.962240,0.839984,297600
1972-08-14,1.960938,1.960938,1.916667,1.916667,0.820475,499200
1972-08-15,1.916667,1.932292,1.875000,1.875000,0.802639,5212800
1972-08-16,1.875000,1.880208,1.846354,1.848958,0.791490,844800
1972-08-17,1.848958,1.859375,1.833333,1.833333,0.784801,518400
1972-08-18,1.838542,1.852865,1.838542,1.850260,0.792048,134400
1972-08-21,1.847656,1.847656,1.808594,1.811198,0.775326,796800
1972-08-22,1.811198,1.812500,1.802083,1.803385,0.771982,2409600
1972-08-23,1.803385,1.820313,1.803385,1.803385,0.771982,384000
1972-08-24,1.803385,1.807292,1.803385,1.803385,0.771982,499200
1972-08-25,1.804688,1.822917,1.804688,1.817708,0.778112,960000
1972-08-28,1.817708,1.832031,1.804688,1.804688,0.772539,1584000
1972-08-29,1.804688,1.821615,1.804688,1.821615,0.779785,537600
1972-08-30,1.821615,1.826823,1.804688,1.807292,0.773655,211200
1972-08-31,1.807292,1.824219,1.791667,1.822917,0.780343,681600
1972-09-01,1.825521,1.847656,1.825521,1.830729,0.783687,499200
1972-09-05,1.830729,1.832031,1.813802,1.813802,0.776440,144000
1972-09-06,1.809896,1.809896,1.783854,1.791667,0.766965,201600
1972-09-07,1.786458,1.786458,1.736979,1.750000,0.749129,2112000
1972-09-08,1.750000,1.757813,1.739583,1.739583,0.744670,336000
1972-09-11,1.723958,1.723958,1.700521,1.703125,0.729063,2486400
1972-09-12,1.703125,1.716146,1.662760,1.677083,0.717915,2544000
1972-09-13,1.677083,1.717448,1.670573,1.717448,0.735194,1478400
1972-09-14,1.714844,1.714844,1.684896,1.708333,0.731292,2803200
1972-09-15,1.704427,1.704427,1.690104,1.697917,0.726833,681600
1972-09-18,1.695313,1.695313,1.674479,1.687500,0.722374,489600
1972-09-19,1.692708,1.697917,1.692708,1.697917,0.726833,979200
1972-09-20,1.697917,1.699219,1.664063,1.699219,0.727391,1113600
1972-09-21,1.700521,1.753906,1.700521,1.753906,0.750801,1046400
1972-09-22,1.753906,1.774740,1.753906,1.772135,0.758605,1017600
1972-09-25,1.772135,1.778646,1.752604,1.752604,0.750243,316800
1972-09-26,1.752604,1.768229,1.752604,1.763021,0.754703,393600
1972-09-27,1.763021,1.805990,1.739583,1.805990,0.773097,2323200
1972-09-28,1.805990,1.925781,1.791667,1.925781,0.824377,1507200
1972-09-29,1.904948,1.904948,1.822917,1.835938,0.785917,3465600
1972-10-02,1.835938,1.841146,1.819010,1.834635,0.785359,480000
1972-10-03,1.833333,1.833333,1.812500,1.825521,0.782391,336000
1972-10-04,1.825521,1.828125,1.812500,1.821615,0.780717,1478400
1972-10-05,1.819010,1.819010,1.783854,1.783854,0.764533,835200
1972-10-06,1.783854,1.795573,1.729167,1.760417,0.754488,2409600
1972-10-09,1.763021,1.774740,1.763021,1.768229,0.757836,441600
1972-10-10,1.773438,1.808594,1.773438,1.785156,0.765090,931200
1972-10-11,1.785156,1.789063,1.761719,1.772135,0.759511,528000
1972-10-12,1.766927,1.766927,1.743490,1.743490,0.747233,364800
1972-10-13,1.743490,1.744792,1.729167,1.734375,0.743327,960000
1972-10-16,1.730469,1.730469,1.712240,1.712240,0.733840,326400
1972-10-17,1.712240,1.722656,1.712240,1.718750,0.736630,652800
1972-10-18,1.718750,1.739583,1.716146,1.736979,0.744443,1017600
1972-10-19,1.736979,1.755208,1.734375,1.734375,0.743327,835200
1972-10-20,1.734375,1.748698,1.726563,1.743490,0.747233,1094400
1972-10-23,1.760417,1.825521,1.760417,1.817708,0.779042,1555200
1972-10-24,1.817708,1.842448,1.794271,1.833333,0.785738,1430400
1972-10-25,1.833333,1.850260,1.820313,1.821615,0.780717,1449600
1972-10-26,1.821615,1.843750,1.817708,1.819010,0.779600,4838400
1972-10-27,1.815104,1.815104,1.807292,1.808594,0.775136,249600
1972-10-30,1.808594,1.820313,1.804688,1.817708,0.779042,451200
1972-10-31,1.819010,1.851563,1.819010,1.850260,0.792994,1296000
1972-11-01,1.850260,1.856771,1.833333,1.843750,0.790203,1248000
1972-11-02,1.843750,1.848958,1.825521,1.843750,0.790203,470400
1972-11-03,1.835938,1.835938,1.830729,1.830729,0.784622,892800
1972-11-06,1.830729,1.838542,1.757813,1.768229,0.757836,3609600
1972-11-08,1.768229,1.787760,1.699219,1.712240,0.733840,2668800
1972-11-09,1.704427,1.704427,1.666667,1.684896,0.722121,6172800
1972-11-10,1.684896,1.703125,1.648438,1.648438,0.706496,5097600
1972-11-13,1.648438,1.664063,1.635417,1.660156,0.711518,4108800
1972-11-14,1.677083,1.738281,1.677083,1.729167,0.741095,1968000
1972-11-15,1.729167,1.731771,1.669271,1.692708,0.725469,2496000
1972-11-16,1.692708,1.710938,1.692708,1.708333,0.732166,1036800
1972-11-17,1.708333,1.723958,1.695313,1.705729,0.731049,931200
1972-11-20,1.705729,1.705729,1.697917,1.705729,0.731049,288000
1972-11-21,1.705729,1.705729,1.694010,1.700521,0.728818,556800
1972-11-22,1.700521,1.713542,1.690104,1.701823,0.729375,1344000
1972-11-24,1.701823,1.705729,1.694010,1.694010,0.726027,1017600
1972-11-27,1.694010,1.712240,1.692708,1.697917,0.727701,825600
1972-11-28,1.704427,1.723958,1.704427,1.705729,0.731049,1430400
1972-11-29,1.709635,1.726563,1.709635,1.717448,0.736072,1564800
1972-11-30,1.721354,1.776042,1.721354,1.776042,0.761185,1276800
1972-12-01,1.781250,1.795573,1.781250,1.795573,0.769555,1420800
1972-12-04,1.795573,1.795573,1.786458,1.790365,0.767323,864000
1972-12-05,1.786458,1.786458,1.763021,1.783854,0.764533,720000
1972-12-06,1.783854,1.789063,1.781250,1.787760,0.766207,508800
1972-12-07,1.787760,1.787760,1.781250,1.783854,0.764533,508800
1972-12-08,1.783854,1.786458,1.776042,1.781250,0.763417,816000
1972-12-11,1.781250,1.794271,1.768229,1.768229,0.757836,3014400
1972-12-12,1.770833,1.783854,1.770833,1.774740,0.760627,3273600
1972-12-13,1.774740,1.794271,1.766927,1.791667,0.767882,1411200
1972-12-14,1.802083,1.808594,1.802083,1.804688,0.773462,998400
1972-12-15,1.802083,1.802083,1.794271,1.796875,0.770113,1478400
1972-12-18,1.791667,1.791667,1.763021,1.773438,0.760069,1584000
1972-12-19,1.773438,1.779948,1.761719,1.779948,0.762859,1286400
1972-12-20,1.779948,1.791667,1.770833,1.783854,0.764533,883200
1972-12-21,1.783854,1.791667,1.764323,1.764323,0.756161,604800
1972-12-22,1.764323,1.768229,1.746094,1.766927,0.757278,1008000
1972-12-26,1.785156,1.796875,1.785156,1.796875,0.770113,576000
1972-12-27,1.799479,1.832031,1.799479,1.830729,0.784622,614400
1972-12-29,1.846354,1.894531,1.846354,1.894531,0.811967,1075200
1973-01-02,1.906250,1.934896,1.906250,1.923177,0.825197,1574400
1973-01-03,1.923177,1.937500,1.923177,1.923177,0.825197,1200000
1973-01-04,1.916667,1.916667,1.867188,1.916667,0.822404,1641600
1973-01-05,1.916667,1.927083,1.898438,1.921875,0.824638,1200000
1973-01-08,1.921875,1.932292,1.906250,1.929688,0.827992,595200
1973-01-09,1.929688,1.942708,1.916667,1.937500,0.831343,662400
1973-01-10,1.937500,1.951823,1.916667,1.916667,0.822404,432000
1973-01-11,1.916667,1.954427,1.916667,1.917969,0.822963,1526400
1973-01-12,1.915365,1.915365,1.875000,1.881510,0.807319,393600
1973-01-15,1.881510,1.908854,1.826823,1.826823,0.783854,787200
1973-01-16,1.826823,1.860677,1.787760,1.839844,0.789441,1420800
1973-01-17,1.839844,1.847656,1.828125,1.847656,0.792793,1027200
1973-01-18,1.847656,1.908854,1.846354,1.908854,0.819052,960000
1973-01-19,1.908854,1.910156,1.877604,1.903646,0.816818,1257600
1973-01-22,1.903646,1.924479,1.895833,1.906250,0.817934,806400
1973-01-23,1.906250,1.964844,1.895833,1.960938,0.841400,1142400
1973-01-24,1.960938,1.968750,1.938802,1.944010,0.834136,1056000
1973-01-26,1.944010,1.947917,1.937500,1.937500,0.831343,1286400
1973-01-29,1.937500,1.938802,1.928385,1.937500,0.831343,355200
1973-01-30,1.942708,1.975260,1.942708,1.942708,0.833577,1228800
1973-01-31,1.944010,1.971354,1.944010,1.950521,0.836930,528000
1973-02-01,1.950521,1.958333,1.895833,1.895833,0.813464,3475200
1973-02-02,1.893229,1.893229,1.867188,1.875000,0.804526,1180800
1973-02-05,1.871094,1.871094,1.835938,1.859375,0.797821,1238400
1973-02-06,1.875000,1.906250,1.875000,1.895833,0.813464,1075200
1973-02-07,1.895833,1.915365,1.875000,1.880208,0.806760,864000
1973-02-08,1.880208,1.881510,1.856771,1.881510,0.807319,1382400
1973-02-09,1.888021,1.912760,1.888021,1.901042,0.815700,825600
1973-02-12,1.906250,1.946615,1.906250,1.946615,0.835254,1430400
1973-02-13,1.947917,1.968750,1.947917,1.951823,0.837488,2649600
1973-02-14,1.945313,1.945313,1.924479,1.933594,0.829667,652800
1973-02-15,1.929688,1.929688,1.921875,1.921875,0.824638,182400
1973-02-16,1.921875,1.929688,1.916667,1.921875,0.824638,537600
1973-02-20,1.916667,1.916667,1.901042,1.906250,0.817934,1987200
1973-02-21,1.902344,1.902344,1.876302,1.877604,0.805643,163200
1973-02-22,1.877604,1.890625,1.856771,1.885417,0.808995,1084800
1973-02-23,1.885417,1.891927,1.864583,1.865885,0.800614,633600
1973-02-26,1.847656,1.847656,1.805990,1.815104,0.778825,1728000
1973-02-27,1.815104,1.830729,1.791667,1.795573,0.770445,1161600
1973-02-28,1.795573,1.828125,1.772135,1.815104,0.778825,1056000
1973-03-01,1.815104,1.835938,1.755208,1.757813,0.754243,1795200
1973-03-02,1.757813,1.791667,1.753906,1.791667,0.768769,1526400
1973-03-05,1.794271,1.822917,1.794271,1.809896,0.776591,1180800
1973-03-06,1.824219,1.882813,1.824219,1.875000,0.804526,1910400
1973-03-07,1.875000,1.890625,1.867188,1.890625,0.811230,1334400
1973-03-08,1.890625,1.908854,1.885417,1.898438,0.814583,691200
1973-03-09,1.898438,1.901042,1.895833,1.898438,0.814583,384000
1973-03-12,1.895833,1.895833,1.877604,1.877604,0.805643,297600
1973-03-13,1.867188,1.867188,1.859375,1.860677,0.798380,1392000
1973-03-14,1.860677,1.875000,1.859375,1.875000,0.804526,1584000
1973-03-15,1.875000,1.880208,1.859375,1.859375,0.797821,576000
1973-03-16,1.859375,1.860677,1.841146,1.845052,0.791675,614400
1973-03-19,1.845052,1.847656,1.835938,1.838542,0.788883,451200
1973-03-20,1.838542,1.847656,1.819010,1.833333,0.786647,470400
1973-03-21,1.826823,1.826823,1.729167,1.729167,0.741951,1315200
1973-03-22,1.726563,1.726563,1.697917,1.699219,0.729101,1804800
1973-03-23,1.699219,1.708333,1.674479,1.705729,0.731895,1468800
1973-03-26,1.716146,1.757813,1.716146,1.750000,0.750890,1267200
1973-03-27,1.752604,1.781250,1.752604,1.760417,0.755360,2563200
